Department /Ministry,Fund allotted(in â‚¹crores)
MINISTRY OF AGRICULTURE,44485.2
DEPARTMENT OF ATOMIC ENERGY,11682.48
"MINISTRY OF AYURVEDA, YOGA",1326.2
MINISTRY OF CHEMICALS AND FERTILISER,70452.81
MINISTRY OF CIVIL AVIATION,2590.68
MINISTRY OF COAL,361
MINISTRY OF COMMERCE AND INDUSTRY,7389.35
MINISTRY OF COMMUNICATION,30768.22
MINISTRY OF CONSUMER AFFAIRS,141391.61
MINISTRY OF CORPORATE AFFAIRS,344.43
MINISTRY OF CULTURE,2500
MINISTRY OF DEFENCE,340921.98
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2430.01
MINISTRY OF EARTH SCIENCES,1672.45
"MINISTRY OF ENVIRONMENT, FOREST",2250.34
MINISTRY OF EXTERNAL AFFAIRS,14662.66
MINISTRY OF FINANCE,723460.84
MINISTRY OF FOOD PROCESSING INDUSTRIES,636.02
MINISTRY OF HEALTH AND FAMILY WELFARE,38206.35
MINISTRY OF HEAVY INDUSTRIES,1320.42
MINISTRY OF HOME AFFAIRS,77383.12
MINISTRY OF HOUSING AND URBAN AFFAIRS,5411
MINISTRY OF INFORMATION AND BROADCASTING,4083.63
MINISTRY OF LABOUR AND EMPLOYMENT,6242.6
MINISTRY OF LAW AND JUSTICE,5411.4
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",3464.77
MINISTRY OF MINES,1213.49
MINISTRY OF MINORITY AFFAIR,3827.25
MINISTRY OF NEW AND RENEWABLE ENERGY,5035.79
MINISTRY OF PANCHAYATI RAJ,768.33
MINISTRY OF PARLIAMENTARY AFFAIRS,17.3
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",1477.68
MINISTRY OF PETROLEUM AND NATURAL GAS,29160.62
MINISTRY OF PLANNING,293.14
MINISTRY OF POWER,12252.71
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1275.7
MINISTRY OF RAILWAYS,45000
MINISTRY OF ROAD TRANSPORT AND HIGHWAY,57976
MINISTRY OF RURAL DEVELOPMENT,87765.16
MINISTRY OF SCIENCE AND TECHNOLOGY,10353
MINISTRY OF SKILL DEVELOPMENT,1804.28
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,7349.51
DEPARMENT OF SPACE,7509.14
MINISTRY OF STATISTICS,4752.83
MINISTRY OF STEEL,85.62
MINISTRY OF TEXTILES,4594.82
MINISTRY OF TOURISM,1590.32
MINISTRY OF TRIBAL AFFAIRS,4826.5
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,17408.12
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1592
GRAND TOTAL,1848778.88
