Department /Ministry,Fund allotted(in â‚¹crores)
MINISTRY OF AGRICULTURE,24909.78
DEPARTMENT OF ATOMIC ENERGY,10912
"MINISTRY OF AYURVEDA, YOGA",1214
MINISTRY OF CHEMICALS AND FERTILISER,73562
MINISTRY OF CIVIL AVIATION,3341.5
MINISTRY OF COAL,606
MINISTRY OF COMMERCE AND INDUSTRY,7707.7
MINISTRY OF COMMUNICATION,23243.3
MINISTRY OF CONSUMER AFFAIRS,125473.77
MINISTRY OF CORPORATE AFFAIRS,271.88
MINISTRY OF CULTURE,2169
MINISTRY OF DEFENCE,310079.6
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2362.74
MINISTRY OF EARTH SCIENCES,1619.7
"MINISTRY OF ENVIRONMENT, FOREST",1681.6
MINISTRY OF EXTERNAL AFFAIRS,14966.83
MINISTRY OF FINANCE,679960.98
MINISTRY OF FOOD PROCESSING INDUSTRIES,505.51
MINISTRY OF HEALTH AND FAMILY WELFARE,32068.17
MINISTRY OF HEAVY INDUSTRIES,1643.73
MINISTRY OF HOME AFFAIRS,68444.1
MINISTRY OF HOUSING AND URBAN AFFAIRS,5634.47
MINISTRY OF INFORMATION AND BROADCASTING,3711.11
MINISTRY OF LABOUR AND EMPLOYMENT,5361.37
MINISTRY OF LAW AND JUSTICE,3758.65
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",3007.42
MINISTRY OF MINES,1155.71
MINISTRY OF MINORITY AFFAIR,3738.11
MINISTRY OF NEW AND RENEWABLE ENERGY,303.21
MINISTRY OF PANCHAYATI RAJ,94.75
MINISTRY OF PARLIAMENTARY AFFAIRS,15.57
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",1181.58
MINISTRY OF PETROLEUM AND NATURAL GAS,30125.55
MINISTRY OF PLANNING,2211.63
MINISTRY OF POWER,6725.93
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1186.04
MINISTRY OF RAILWAYS,40000
MINISTRY OF ROAD TRANSPORT AND HIGHWAY,45751.65
MINISTRY OF RURAL DEVELOPMENT,73332.58
MINISTRY OF SCIENCE AND TECHNOLOGY,9491.84
MINISTRY OF SKILL DEVELOPMENT,1543.46
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,7161.76
DEPARMENT OF SPACE,7388.19
MINISTRY OF STATISTICS,4826.87
MINISTRY OF STEEL,82.95
MINISTRY OF TEXTILES,4274.8
MINISTRY OF TOURISM,1573.07
MINISTRY OF TRIBAL AFFAIRS,4819.21
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,10382.4
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1541.13
GRAND TOTAL,1667124.9
