Department /Ministry,Fund allotted(in â‚¹crores)
MINISTRY OF AGRICULTURE,51026
DEPARTMENT OF ATOMIC ENERGY,12461.2
"MINISTRY OF AYURVEDA, YOGA",1428.65
MINISTRY OF CHEMICALS AND FERTILISER,70578.45
MINISTRY OF CIVIL AVIATION,2702
MINISTRY OF COAL,745.1
MINISTRY OF COMMERCE AND INDUSTRY,8074.7
MINISTRY OF COMMUNICATION,36237.47
MINISTRY OF CONSUMER AFFAIRS,154231.69
MINISTRY OF CORPORATE AFFAIRS,448.04
MINISTRY OF CULTURE,2738.47
MINISTRY OF DEFENCE,359854.12
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2682.45
MINISTRY OF EARTH SCIENCES,1719.48
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,4039
"MINISTRY OF ENVIRONMENT, FOREST",2675.42
MINISTRY OF EXTERNAL AFFAIRS,14798.55
MINISTRY OF FINANCE,740168.99
MINISTRY OF FOOD PROCESSING INDUSTRIES,800
MINISTRY OF HEALTH AND FAMILY WELFARE,48852.51
MINISTRY OF HEAVY INDUSTRIES,2619.38
MINISTRY OF HOME AFFAIRS,97187.17
MINISTRY OF HOUSING AND URBAN AFFAIRS,6406
MINISTRY OF INFORMATION AND BROADCASTING,4409
MINISTRY OF LABOUR AND EMPLOYMENT,7188.38
MINISTRY OF LAW AND JUSTICE,4536.66
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",6481.96
MINISTRY OF MINES,1213.49
MINISTRY OF MINORITY AFFAIR,4195.48
MINISTRY OF NEW AND RENEWABLE ENERGY,5472.84
MINISTRY OF PANCHAYATI RAJ,790.79
MINISTRY OF PARLIAMENTARY AFFAIRS,17.88
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",1450.68
MINISTRY OF PETROLEUM AND NATURAL GAS,29157.57
MINISTRY OF PLANNING,252.52
MINISTRY OF POWER,13881.14
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1352.15
MINISTRY OF RAILWAYS,55000
MINISTRY OF ROAD TRANSPORT AND HIGHWAY,64900
MINISTRY OF RURAL DEVELOPMENT,107758.24
MINISTRY OF SCIENCE AND TECHNOLOGY,11485.38
MINISTRY OF SKILL DEVELOPMENT,3016.14
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,7763
DEPARMENT OF SPACE,9093.71
MINISTRY OF STATISTICS,4795.74
MINISTRY OF STEEL,44.14
MINISTRY OF TEXTILES,6226.5
MINISTRY OF TOURISM,1840.77
MINISTRY OF TRIBAL AFFAIRS,5329.32
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,22094.67
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1943.21
GRAND TOTAL,2004166.2
